time,value
12:31:00,80
12:31:05,79
12:31:10,80
12:31:17,79
12:31:32,79
12:31:47,79
12:32:02,79
12:32:07,79
12:32:12,76
12:32:17,76
12:32:32,76
12:32:47,76
12:32:57,77
12:33:12,77
12:33:17,79
12:33:22,81
12:33:32,80
12:33:37,81
12:33:42,81
12:33:52,82
12:34:02,81
12:34:12,79
12:34:17,80
12:34:22,82
12:34:27,83
12:34:37,82
12:34:52,82
12:35:09,86
12:35:14,87
12:35:24,86
12:35:39,84
12:35:44,83
12:35:49,85
12:35:59,84
12:36:09,83
12:36:19,82
12:36:34,82
12:36:49,82
12:36:54,81
12:37:09,81
12:37:19,82
12:37:29,81
12:37:34,78
12:37:39,79
12:37:44,81
12:37:49,81
12:37:59,80
12:38:14,80
12:38:19,80
12:38:34,80
12:38:44,78
12:38:54,77
12:38:59,77
12:39:06,77
12:39:16,78
12:39:21,82
12:39:31,81
12:39:36,80
12:39:46,81
12:40:01,81
12:40:16,81
12:40:31,83
12:40:46,83
12:40:56,83
12:41:11,83
12:41:26,83
12:41:41,83
12:41:46,85
12:41:51,86
12:41:56,87
12:42:11,87
12:42:21,86
12:42:31,88
12:42:36,80
12:42:41,78
12:42:46,73
12:42:51,73
12:42:58,74
12:43:08,75
12:43:13,78
12:43:18,81
12:43:23,80
12:43:33,82
12:43:38,80
12:43:43,79
12:43:48,77
12:43:53,75
12:44:03,76
12:44:18,76
12:44:28,76
12:44:33,75
12:44:38,76
12:44:43,75
12:44:48,77
12:44:58,76
12:45:03,75
12:45:13,74
12:45:23,75
12:45:28,74
12:45:33,75
12:45:38,76
12:45:48,75
12:45:53,76
12:46:00,75
12:46:10,78
12:46:15,77
12:46:20,78
12:46:25,76
12:46:35,76
12:46:40,75
12:46:45,76
12:46:50,75
12:47:00,74
12:47:05,75
12:47:10,76
12:47:20,78
12:47:35,78
12:47:40,78
12:47:50,79
12:47:55,79
12:48:00,80
12:48:15,80
12:48:20,81
12:48:35,81
12:48:40,78
12:48:45,77
12:48:50,75
12:48:55,74
12:49:02,74
12:49:07,74
12:49:12,75
12:49:17,74
12:49:32,74
12:49:37,75
12:49:47,70
12:49:52,67
12:49:57,68
12:50:07,67
12:50:17,68
12:50:22,69
12:50:37,70
12:50:52,70
12:50:57,71
12:51:02,81
12:51:07,80
12:51:12,78
12:51:17,75
12:51:22,73
12:51:27,74
12:51:32,72
12:51:47,72
12:52:02,72
12:52:12,73
12:52:18,72
12:52:23,71
12:52:38,71
12:52:43,71
12:52:58,71
12:53:08,70
12:53:23,70
12:53:33,68
12:53:38,69
12:53:43,74
12:53:48,75
12:53:53,73
12:53:58,72
12:54:08,74
12:54:13,76
12:54:18,77
12:54:23,76
12:54:28,74
12:54:33,73
12:54:43,72
12:54:58,72
12:55:20,73
12:55:25,74
12:55:40,76
12:55:45,73
12:55:55,74
12:56:00,73
12:56:15,73
12:56:25,72
12:56:40,72
12:56:45,72
12:56:50,73
12:57:00,74
12:57:15,74
12:57:20,74
12:57:25,76
12:57:30,75
12:57:35,74
12:57:45,76
12:57:50,77
12:58:00,79
12:58:05,81
12:58:10,78
12:58:15,78
12:58:30,78
12:58:40,78
12:58:47,76
12:58:52,76
12:58:57,75
12:59:02,74
12:59:12,75
12:59:17,74
12:59:27,75
12:59:32,78
12:59:42,77
12:59:47,78
12:59:52,75
12:59:57,75
13:00:12,75
13:00:22,74
13:00:32,74
13:00:37,75
13:00:42,76
13:00:47,72
13:00:52,75
13:00:57,74
13:01:07,73
13:01:12,74
13:01:17,73
13:01:32,73
13:01:37,74
13:01:42,75
13:01:47,76
13:01:54,76
13:01:59,77
13:02:04,78
13:02:09,77
13:02:14,78
13:02:19,82
13:02:24,81
13:02:29,79
13:02:34,78
13:02:39,77
13:02:44,78
13:02:59,77
13:03:14,76
